Number,Date,Question,Answer,Hashtag,Countries,Link,0
1,09/10/2002,What is OFAC and what does it do?,"The Office of Foreign Assets Control administers and enforces economic sanctions programs primarily against countries and groups of individuals, such as terrorists and narcotics traffickers. The sanctions can be either comprehensive or selective, using the blocking of assets and trade restrictions to accomplish foreign policy and national security goals.",Basic Information on OFAC and Sanctions,,,
2,05/02/2006,How long has OFAC been around?,,Basic Information on OFAC and Sanctions,,,
3,06/16/2006,"What does one mean by the term ""prohibited transactions""?",,Basic Information on OFAC and Sanctions,,,
4,06/16/2006,Are there exceptions to the prohibitions?,,Basic Information on OFAC and Sanctions,,,
5,01/30/2015,How do I determine if I have a valid OFAC match?,,Assessing OFAC Name Matches,,,
6,05/21/2018,Where can I find the specific details about the embargoes?,,Basic Information on OFAC and Sanctions,,,
7,09/10/2002,Can I get permission from OFAC to transact or trade with an embargoed country?,,Basic Information on OFAC and Sanctions,,,
8,09/10/2002,What must I do to get permission to trade with an embargoed country?,,"Basic Information on OFAC and Sanctions
Licensing",,,
9,09/10/2002,"What do you mean by ""blocking?""",,"Basic Information on OFAC and Sanctions
Blocking",,,
10,05/21/2018,What countries do I need to worry about in terms of U.S. sanctions?,,Basic Information on OFAC and Sanctions,,,
11,01/15/2015,Who must comply with OFAC regulations?,,Basic Information on OFAC and Sanctions,,,
12,03/08/2017,How much are the fines for violating these regulations?,,Basic Information on OFAC and Sanctions,,,
13,12/04/2020,"How can I report a possible violation of OFAC regulations by my company to OFAC? Will I receive ""amnesty"" if I report a possible violation to OFAC or if my failure to comply with OFAC regulations was inadvertent?",,Basic Information on OFAC and Sanctions,,,
14,09/10/2002,"Can I regard previously issued and published opinion letters, regulatory interpretations, or other statements as guidance for my transactions?",,Basic Information on OFAC and Sanctions,,,
15,09/10/2002,"Can OFAC change its previously stated, non-published interpretation or opinion without first giving public notice?",,Basic Information on OFAC and Sanctions,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
